"SAMPLE_ID";"Formation_name";"orig.form.nr";"form.nr";"K1";"K2";"K.mid";"Lat";"Long";"Data_collection_1";"Data_collection_2";"Total";"num.with.colonies";"std.weight";"std.area";"Species_Aimulosia_marsupium";"Species_Antarctothoa_tongima";"Species_Arachnopusia_unicornis";"Species_Bitectipora_rostrata";"Species_Calloporina_angustipora";"Species_Escharella_spinosissima";"Species_Escharoides_angela";"Species_Escharoides_excavata";"Species_Exochella_armata";"Species_Exochella_conjuncta";"Species_Fenestrulina_reticulata";"Species_Figularia_carinata";"Species_Hippomenella_vellicata";"Species_Microporella_aff_speculum";"Species_Microporella_agonistes";"Species_Microporella_discors";"Species_Microporella_intermedia";"Species_Microporella_rusti";"Species_Microporella_speculum";"Species_Prenantia_firmata";"Species_Steginoporella_magnifica";"Species_Superspecies";"Unidentified_Microporella";"Genus_Aimulosia";"Genus_Antarctothoa";"Genus_Arachnopusia";"Genus_Bitectipora";"Genus_Calloporina";"Genus_Escharella";"Genus_Escharoides";"Genus_Exochella";"Genus_Fenestrulina";"Genus_Figularia";"Genus_Hippomenella";"Genus_Microporella";"Genus_Prenantia";"Genus_Steginoporella"
"1";"Lower Castlecliff Shellbed";10;6;0.52;0.58;0.55;39.90405;174.936383333333;"MHR";"EDM";52;0;44.6660138907899;49.4736458384159;5;0;0;3;10;0;0;0;0;3;15;0;3;0;7;0;0;0;0;0;0;150;8;5;0;0;3;10;0;0;3;15;0;3;15;0;0
"10";"Upper Castlecliff Shellbed";4;9;0.38;0.4;0.39;39.9177666666667;174.956383333333;"MHR";"EDM";50;0;68.6471712961779;73.5647117648338;0;15;0;0;3;0;0;0;0;0;4;0;2;0;4;0;0;0;2;0;0;37;0;0;15;0;0;3;0;0;0;4;0;2;6;0;0
"100";"Lower Castlecliff Shellbed";10;6;0.52;0.58;0.55;39.9063833333333;174.940683333333;"MHR";"EDM";50;0;34.1437031618431;44.6799925235693;3;0;3;0;12;0;0;0;0;11;7;0;0;2;21;0;0;0;7;0;0;201;4;3;0;3;0;12;0;0;11;7;0;0;34;0;0
"101";"Lower Castlecliff Shellbed";10;6;0.52;0.58;0.55;39.9049166666667;174.938033333333;"MHR";"EDM";50;0;25.0032186246895;36.6842557858606;4;5;0;0;18;0;0;0;0;21;3;0;0;0;10;0;0;0;2;0;0;31;0;4;5;0;0;18;0;0;21;3;0;0;12;0;0
"102";"Upper Kai-iwi Shellbed";13;5;0.62;0.68;0.65;39.8969333333333;174.923783333333;"MHR";"EDM";30;0;12.976552711652;18.9412349088022;6;15;0;0;4;0;0;0;0;3;3;2;0;0;15;1;0;0;1;5;1;215;5;6;15;0;0;4;0;0;3;3;2;0;22;5;1
"103";"Upper Kai-iwi Shellbed";13;5;0.62;0.68;0.65;39.8969333333333;174.923783333333;"MHR";"EDM";30;0;8.01179609126629;12.2201471046742;5;16;4;0;1;1;0;0;2;1;1;10;2;0;5;0;0;0;5;0;2;288;3;5;16;4;0;1;1;0;3;1;10;2;13;0;2
"104";"Upper Kai-iwi Shellbed";13;5;0.62;0.68;0.65;39.8969333333333;174.923783333333;"MHR";"EDM";30;0;1.96197216064766;5.50563806373153;0;0;0;0;0;1;0;0;0;0;0;1;0;0;13;3;0;0;7;0;0;88;9;0;0;0;0;0;1;0;0;0;1;0;32;0;0
"105";"Upper Kai-iwi Shellbed";13;5;0.62;0.68;0.65;39.8967333333333;174.923666666667;"MHR";"EDM";30;0;9.9758894071321;15.8276617894865;3;3;1;0;1;0;0;0;0;1;4;3;0;1;5;1;0;0;6;0;0;206;8;3;3;1;0;1;0;0;1;4;3;0;21;0;0
"106";"Upper Kai-iwi Shellbed";13;5;0.62;0.68;0.65;39.8961666666667;174.922833333333;"MHR";"EDM";30;0;9.37326312021328;15.1873208129987;4;15;1;0;2;0;0;0;2;0;0;2;0;0;13;0;0;0;1;0;4;184;1;4;15;1;0;2;0;0;2;0;2;0;15;0;4
"107";"Upper Kai-iwi Shellbed";13;5;0.62;0.68;0.65;39.8961666666667;174.922833333333;"MHR";"EDM";30;0;10.4801560012435;15.506156534886;1;9;2;1;2;0;0;0;2;0;3;6;0;0;3;3;0;0;0;3;3;183;7;1;9;2;1;2;0;0;2;3;6;0;13;3;3
"108";"Upper Kai-iwi Shellbed";13;5;0.62;0.68;0.65;39.8995333333333;174.928416666667;"MHR";"EDM";30;0;10.2022552353678;16.6304938981106;9;4;2;0;0;0;0;0;0;2;1;0;0;3;16;0;0;0;0;0;0;108;7;9;4;2;0;0;0;0;2;1;0;0;26;0;0
"109";"Upper Kai-iwi Shellbed";13;5;0.62;0.68;0.65;39.8979833333333;174.9257;"MHR";"EDM";30;0;15.2374402984372;20.2839758629746;3;4;2;0;6;0;0;0;0;3;2;0;0;2;40;4;0;0;6;1;0;198;2;3;4;2;0;6;0;0;3;2;0;0;54;1;0
"11";"Upper Castlecliff Shellbed";4;9;0.38;0.4;0.39;39.9177666666667;174.956383333333;"MHR";"EDM";50;0;70.10321579858;76.1464834162072;0;1;0;0;11;0;0;0;0;2;0;0;0;0;4;0;0;0;0;0;0;22;1;0;1;0;0;11;0;0;2;0;0;0;5;0;0
"110";"Upper Kai-iwi Shellbed";13;5;0.62;0.68;0.65;39.8979833333333;174.9259;"MHR";"EDM";30;0;20.5834974046895;24.3636878895899;3;8;1;0;6;0;0;0;0;0;1;0;0;0;4;0;0;0;2;0;0;109;5;3;8;1;0;6;0;0;0;1;0;0;11;0;0
"111";"Upper Kai-iwi Shellbed";13;5;0.62;0.68;0.65;39.8979833333333;174.9259;"MHR";"EDM";30;0;8.05441202792196;13.5494356026991;1;0;0;0;1;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;62;3;1;0;0;0;1;0;0;0;0;0;0;7;0;0
"112";"Upper Kai-iwi Shellbed";13;5;0.62;0.68;0.65;39.8978833333333;174.925483333333;"MHR";"EDM";30;0;9.66529443350636;15.8027958441361;7;8;2;1;3;0;0;0;1;3;8;2;0;1;16;1;0;0;3;0;0;243;9;7;8;2;1;3;0;0;4;8;2;0;30;0;0
"113";"Upper Kai-iwi Shellbed";13;5;0.62;0.68;0.65;39.8977;174.925416666667;"MHR";"EDM";30;0;11.1077185483107;17.3366720146107;3;13;3;0;9;0;0;0;0;2;0;0;0;1;8;0;0;0;3;1;0;127;0;3;13;3;0;9;0;0;2;0;0;0;12;1;0
"114";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.8576;174.7869;"MHR";"EDM";30;0;52.7116520494004;50.1169532558138;2;5;3;0;19;1;1;3;0;0;0;0;5;0;11;0;0;0;0;0;1;169;16;2;5;3;0;19;1;4;0;0;0;5;27;0;1
"115A";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.85805;174.7842;"MHR";"EDM";30;0;84.8696378497703;65.1634470066491;4;1;1;0;2;0;2;4;0;1;2;0;1;0;9;0;1;0;0;0;0;113;16;4;1;1;0;2;0;6;1;2;0;1;26;0;0
"115B";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.8579166666667;174.784883333333;"MHR";"EDM";30;0;64.4992201283592;56.9271823674863;4;2;1;0;0;0;0;0;0;0;1;0;2;0;0;1;0;0;0;0;1;109;1;4;2;1;0;0;0;0;0;1;0;2;2;0;1
"116";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.85785;174.785266666667;"MHR";"EDM";30;0;118.504265855259;85.8132441358272;4;20;1;0;9;2;0;4;0;1;3;0;3;0;31;0;0;0;0;0;0;131;30;4;20;1;0;9;2;4;1;3;0;3;61;0;0
"117";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.8576333333333;174.787016666667;"MHR";"EDM";30;0;69.7303263528429;54.798939322196;0;1;0;0;1;0;0;0;0;0;3;0;1;0;0;0;0;0;0;0;0;34;0;0;1;0;0;1;0;0;0;3;0;1;0;0;0
"118";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.8575833333333;174.787816666667;"MHR";"EDM";30;0;52.6127382174786;47.2905278507649;16;2;2;0;4;10;1;6;0;7;3;0;3;0;12;0;0;0;0;0;24;303;3;16;2;2;0;4;10;7;7;3;0;3;15;0;24
"119";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.85765;174.78825;"MHR";"EDM";30;0;79.201718274566;61.9038141197994;3;0;1;0;3;0;0;1;0;0;1;0;0;0;4;0;0;0;0;0;0;34;1;3;0;1;0;3;0;1;0;1;0;0;5;0;0
"12";"Upper Castlecliff Shellbed";4;9;0.38;0.4;0.39;39.9177666666667;174.956383333333;"MHR";"EDM";50;0;89.4188890877633;79.1223966766149;0;0;0;0;5;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;28;0;0;0;0;0;5;0;0;1;0;0;1;0;0;0
"13";"Upper Castlecliff Shellbed";4;9;0.38;0.4;0.39;39.9177666666667;174.956383333333;"MHR";"EDM";50;0;52.4282560706402;62.7020478498658;0;0;0;0;1;0;0;0;7;0;0;0;0;0;1;0;0;0;0;0;0;16;1;0;0;0;0;1;0;0;7;0;0;0;2;0;0
"14";"Upper Castlecliff Shellbed";4;9;0.38;0.4;0.39;39.9177666666667;174.956383333333;"MHR";"EDM";50;0;115.808807861788;94.0238356479857;0;1;6;0;20;0;3;2;0;3;0;0;0;0;6;1;0;0;12;0;0;99;4;0;1;6;0;20;0;5;3;0;0;0;23;0;0
"15";"Upper Castlecliff Shellbed";4;9;0.38;0.4;0.39;39.9177666666667;174.956383333333;"MHR";"EDM";50;0;41.0178390310841;49.2498856220171;2;1;0;0;10;0;0;0;0;1;0;0;0;0;1;0;0;0;3;0;0;29;1;2;1;0;0;10;0;0;1;0;0;0;5;0;0
"16";"Upper Castlecliff Shellbed";4;9;0.38;0.4;0.39;39.9180666666667;174.956783333333;"MHR";"EDM";50;0;103.812421693216;88.4563841920814;0;0;0;0;2;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;18;0;0;0;0;0;2;0;1;0;0;0;0;1;0;0
"17";"Upper Castlecliff Shellbed";4;9;0.38;0.4;0.39;39.9180666666667;174.956783333333;"MHR";"EDM";50;0;62.6454268838375;70.3311625383669;2;0;0;0;2;0;0;0;0;4;0;0;0;0;1;0;0;0;0;0;0;9;1;2;0;0;0;2;0;0;4;0;0;0;2;0;0
"18";"Upper Castlecliff Shellbed";4;9;0.38;0.4;0.39;39.9180666666667;174.956783333333;"MHR";"EDM";50;0;63.0402510028533;69.1151783282291;0;1;0;0;7;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;23;1;0;1;0;0;7;0;0;3;0;0;0;1;0;0
"19";"Upper Castlecliff Shellbed";4;9;0.38;0.4;0.39;39.92205;174.95955;"MHR";"EDM";50;0;129.552447433242;108.387155300016;3;4;3;0;1;0;3;0;0;4;4;8;0;0;1;0;0;0;4;0;4;106;1;3;4;3;0;1;0;3;4;4;8;0;6;0;4
"194";"Lower Kai-iwi Shellbed";23;3;0.93;0.97;0.95;39.881417;174.8888;"EDM";"EDM";55;0;26.8778712487322;38.7118482933162;2;12;0;0;0;0;0;0;2;1;0;0;0;0;5;0;0;0;0;0;0;189;0;2;12;0;0;0;0;0;3;0;0;0;5;0;0
"2";"Lower Castlecliff Shellbed";10;6;0.52;0.58;0.55;39.9039333333333;174.936383333333;"MHR";"EDM";51;0;49.679200341452;56.6456677462149;6;0;0;0;26;0;0;0;0;11;6;0;0;0;6;0;0;0;16;0;5;60;1;6;0;0;0;26;0;0;11;6;0;0;23;0;5
"20";"Upper Castlecliff Shellbed";4;9;0.38;0.4;0.39;39.9214833333333;174.961066666667;"MHR";"EDM";50;0;72.7134419187399;76.9856814127051;0;0;1;0;6;0;0;0;0;0;1;1;0;0;3;0;0;0;2;0;0;24;3;0;0;1;0;6;0;0;0;1;1;0;8;0;0
"203";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.857917;174.943533;"EDM";"EDM";70;0;15.2437205417338;30.3486364417106;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"206";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.857633;174.788517;"EDM";"EDM";55;0;20.2404391146113;33.1154334205095;3;0;0;0;2;2;0;4;0;0;3;0;2;0;1;0;0;0;0;0;2;28;0;3;0;0;0;2;2;4;0;3;0;2;1;0;2
"207";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.857717;174.788633;"EDM";"EDM";62;0;32.9634270031621;42.8854837531803;2;1;0;0;4;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;11;0;2;1;0;0;4;0;0;0;2;0;0;0;0;0
"208";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.857717;174.788633;"EDM";"EDM";47;0;35.6780621681284;33.9867364064682;5;1;0;0;14;0;2;7;0;0;10;0;2;0;7;0;0;0;0;1;2;53;0;5;1;0;0;14;0;9;0;10;0;2;7;1;2
"21";"Shakespeare Cliff Basal Sand Shellbed";5;8;0.4;0.43;0.415;39.9184;174.957033333333;"MHR";"EDM";50;0;161.993829212372;124.537641913002;2;88;5;0;6;0;4;0;0;1;0;2;0;5;2;0;0;0;26;2;3;170;2;2;88;5;0;6;0;4;1;0;2;0;35;2;3
"210";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.857567;174.788233;"EDM";"EDM";53;0;66.8814509874113;46.2183425589437;3;2;0;0;12;0;3;9;0;0;1;0;1;0;7;0;0;0;0;0;3;32;0;3;2;0;0;12;0;12;0;1;0;1;7;0;3
"212";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.857533;174.7877;"EDM";"EDM";54;0;63.0332319074041;61.5143596670698;7;0;0;1;9;4;2;8;0;1;0;0;0;0;5;0;0;0;0;0;17;84;0;7;0;0;1;9;4;10;1;0;0;0;5;0;17
"22";"Shakespeare Cliff Basal Sand Shellbed";5;8;0.4;0.43;0.415;39.9184;174.957033333333;"MHR";"EDM";50;0;105.035499075234;96.3010118069927;2;1;0;0;3;0;9;0;0;0;0;5;0;1;17;0;0;0;81;0;9;231;12;2;1;0;0;3;0;9;0;0;5;0;111;0;9
"23";"Shakespeare Cliff Basal Sand Shellbed";5;8;0.4;0.43;0.415;39.9182166666667;174.956733333333;"MHR";"EDM";50;0;141.662476099562;117.723883118489;0;108;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;6;0;6;73;2;0;108;1;0;1;0;1;0;0;0;0;8;0;6
"24";"Tainui Shellbed";7;7;0.43;0.51;0.47;39.9179666666667;174.956283333333;"MHR";"EDM";50;0;86.2617584471889;81.4185924113983;0;6;0;0;1;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;7;2;0;6;0;0;1;0;0;2;0;0;0;2;0;0
"25";"Tainui Shellbed";7;7;0.43;0.51;0.47;39.9179666666667;174.956283333333;"MHR";"EDM";50;0;54.6904520414454;64.2554145564195;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"26";"Tainui Shellbed";7;7;0.43;0.51;0.47;39.9179666666667;174.956283333333;"MHR";"EDM";50;0;49.2214068373009;58.4974429737751;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"28";"Tainui Shellbed";7;7;0.43;0.51;0.47;39.91525;174.95215;"MHR";"EDM";50;0;22.2490702623153;30.459273228822;2;0;1;0;0;0;0;0;0;1;0;0;0;0;6;0;0;0;0;0;0;45;1;2;0;1;0;0;0;0;1;0;0;0;7;0;0
"29";"Shakespeare Cliff Basal Sand Shellbed";5;8;0.4;0.43;0.415;39.91515;174.95295;"MHR";"EDM";50;0;124.032351888312;107.786839893942;0;52;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;3;20;1;0;52;0;0;0;0;0;0;0;0;0;3;0;3
"3";"Lower Castlecliff Shellbed";10;6;0.52;0.58;0.55;39.9042166666667;174.93665;"MHR";"EDM";53;0;85.2713640793111;72.3775711766991;10;2;0;0;25;0;0;0;0;14;4;0;3;0;14;0;0;0;11;0;1;205;10;10;2;0;0;25;0;0;14;4;0;3;35;0;1
"30";"Lower Castlecliff Shellbed";10;6;0.52;0.58;0.55;39.9045166666667;174.937083333333;"MHR";"EDM";50;0;40.2062561197739;46.1301277601105;7;0;3;0;17;0;0;0;0;27;18;0;1;4;22;0;0;0;15;0;0;612;13;7;0;3;0;17;0;0;27;18;0;1;54;0;0
"301";"Tainui Shellbed";7;7;0.43;0.51;0.47;39.90785;174.94355;"EDM";"EDM";43;0;14.7515064733608;23.592678895611;0;2;0;0;1;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;5;0;0;2;0;0;1;0;0;0;4;0;0;0;0;0
"302";"Tainui Shellbed";7;7;0.43;0.51;0.47;39.90785;174.94355;"EDM";"EDM";47;0;21.030964739574;30.5481855699675;2;0;0;1;5;1;0;0;0;3;2;1;0;0;7;0;0;0;1;1;0;52;0;2;0;0;1;5;1;0;3;2;1;0;8;1;0
"303";"Tainui Shellbed";7;7;0.43;0.51;0.47;39.90785;174.94355;"EDM";"EDM";39;0;11.9622934192471;19.9167595070006;1;0;0;0;2;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;10;0;1;0;0;0;2;0;0;1;0;0;0;2;0;0
"304";"Shakespeare Cliff Basal Sand Shellbed";5;8;0.4;0.43;0.415;39.90785;174.94355;"EDM";"EDM";43;0;21.030964739574;29.0509183996471;8;0;0;0;5;0;0;0;0;5;0;0;0;0;0;0;0;0;0;0;0;7;0;8;0;0;0;5;0;0;5;0;0;0;0;0;0
"31";"Lower Castlecliff Shellbed";10;6;0.52;0.58;0.55;39.9045166666667;174.937083333333;"MHR";"EDM";50;0;30.6701569118788;38.2775632259715;10;0;2;0;6;0;0;0;0;13;1;0;0;2;6;0;0;0;12;0;1;121;2;10;0;2;0;6;0;0;13;1;0;0;22;0;1
"315";"Upper Kai-iwi Shellbed";13;5;0.62;0.68;0.65;39.90045;174.930017;"EDM";"EDM";50;0;30.3382853051727;36.4611493204429;5;2;1;0;2;3;0;0;0;0;1;3;0;0;8;0;0;0;0;0;0;40;0;5;2;1;0;2;3;0;0;1;3;0;8;0;0
"316";"Upper Kai-iwi Shellbed";13;5;0.62;0.68;0.65;39.90045;174.930017;"EDM";"EDM";44;0;27.0419426048565;36.082207971133;6;7;1;0;5;1;0;0;0;6;1;0;0;0;11;0;0;0;0;0;0;90;0;6;7;1;0;5;1;0;6;1;0;0;11;0;0
"32";"Lower Castlecliff Shellbed";10;6;0.52;0.58;0.55;39.9045166666667;174.937083333333;"MHR";"EDM";50;0;62.4589821609689;56.339239449115;4;0;1;0;4;0;0;0;0;9;10;0;1;0;10;0;0;0;2;0;0;125;3;4;0;1;0;4;0;0;9;10;0;1;15;0;0
"321";"Lower Castlecliff Shellbed";10;6;0.52;0.58;0.55;39.9043;174.936333;"EDM";"EDM";50;0;16.8098562138297;26.8568777849394;9;5;3;0;22;0;2;0;0;16;3;0;0;0;10;0;0;0;2;1;0;66;0;9;5;3;0;22;0;2;16;3;0;0;12;1;0
"322";"Lower Castlecliff Shellbed";10;6;0.52;0.58;0.55;39.9043;174.936333;"EDM";"EDM";66;0;11.559572817851;23.5657579962531;23;0;6;0;10;0;7;0;0;12;42;0;0;0;23;0;3;0;6;0;1;204;0;23;0;6;0;10;0;7;12;42;0;0;32;0;1
"335";"Lower Kai-iwi Shellbed";23;3;0.93;0.97;0.95;39.8829;174.892433;"EDM";"EDM";47;0;5.98114670962353;13.692108507729;2;11;0;0;0;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;10;0;2;11;0;0;0;0;0;0;0;0;0;6;0;0
"336";"Lower Kai-iwi Shellbed";23;3;0.93;0.97;0.95;39.8829;174.892433;"EDM";"EDM";41;0;6.87608137939264;15.0530621141973;1;9;0;0;0;0;0;0;0;1;0;0;2;0;2;0;0;0;0;0;0;29;0;1;9;0;0;0;0;0;1;0;0;2;2;0;0
"34";"Nukumaru Limestone";40;1;2.08;2.29;2.185;39.8657666666667;174.76005;"MHR";"EDM";30;0;52.8810503976067;50.3662406046333;43;59;28;0;3;30;1;16;0;0;0;0;0;0;0;0;0;1;0;0;0;309;0;43;59;28;0;3;30;17;0;0;0;0;1;0;0
"346";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.8591;174.788467;"EDM";"EDM";56;0;42.3602410357377;48.6254102326267;3;2;0;1;3;0;0;3;0;0;2;0;0;0;3;0;0;0;0;0;0;27;0;3;2;0;1;3;0;3;0;2;0;0;3;0;0
"347";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.857567;174.788633;"EDM";"EDM";50;0;11.6938130183163;21.284423632488;1;2;0;1;1;0;0;7;0;1;3;0;0;0;5;0;0;0;0;1;3;22;0;1;2;0;1;1;0;7;1;3;0;0;5;1;3
"348";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.857567;174.788633;"EDM";"EDM";58;0;15.6613567209594;28.2415490301248;0;0;0;0;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;1;0;0;0;2;0;0;0;0;0
"349";"Nukumaru Brown Sand";39;2;1.97;2.03;2;39.857583;174.788567;"EDM";"EDM";52;0;17.3020702822027;29.2533662693885;5;0;0;0;0;0;0;0;0;1;0;0;0;0;2;0;0;0;0;0;0;14;0;5;0;0;0;0;0;0;1;0;0;0;2;0;0
